step,apc,segment,gkr_peak_mib,overall_peak_mib,peak_phase,peak_module
step-00-baseline,0,0,14531.3,14531.3,gkr,frac_sumcheck.gkr_rounds
step-00-baseline,0,1,14525.5,14525.5,gkr,frac_sumcheck.gkr_rounds
step-00-baseline,0,2,14544.2,14544.2,gkr,frac_sumcheck.gkr_rounds
step-00-baseline,0,3,14570.0,14570.0,gkr,frac_sumcheck.gkr_rounds
step-00-baseline,0,4,7626.1,7626.1,gkr,frac_sumcheck.gkr_rounds
step-01-multistream-round0,0,0,14531.3,14531.3,gkr,frac_sumcheck.gkr_rounds
step-01-multistream-round0,0,1,14525.5,14525.5,gkr,frac_sumcheck.gkr_rounds
step-01-multistream-round0,0,2,14544.2,14544.2,gkr,frac_sumcheck.gkr_rounds
step-01-multistream-round0,0,3,14570.0,14570.0,gkr,frac_sumcheck.gkr_rounds
step-01-multistream-round0,0,4,7626.1,7626.1,gkr,frac_sumcheck.gkr_rounds
step-02-multistream-gkr-input,0,0,14531.3,14531.3,gkr,frac_sumcheck.gkr_rounds
step-02-multistream-gkr-input,0,1,14525.5,14525.5,gkr,frac_sumcheck.gkr_rounds
step-02-multistream-gkr-input,0,2,14544.2,14544.2,gkr,frac_sumcheck.gkr_rounds
step-02-multistream-gkr-input,0,3,14570.0,14570.0,gkr,frac_sumcheck.gkr_rounds
step-02-multistream-gkr-input,0,4,7626.1,7626.1,gkr,frac_sumcheck.gkr_rounds
step-03-stacked-mle-sync,0,0,14531.3,14531.3,gkr,frac_sumcheck.gkr_rounds
step-03-stacked-mle-sync,0,1,14525.5,14525.5,gkr,frac_sumcheck.gkr_rounds
step-03-stacked-mle-sync,0,2,14544.2,14544.2,gkr,frac_sumcheck.gkr_rounds
step-03-stacked-mle-sync,0,3,14570.0,14570.0,gkr,frac_sumcheck.gkr_rounds
step-03-stacked-mle-sync,0,4,7626.1,7626.1,gkr,frac_sumcheck.gkr_rounds
step-04-stacking-scatter,0,0,14531.3,14531.3,gkr,frac_sumcheck.gkr_rounds
step-04-stacking-scatter,0,1,14525.5,14525.5,gkr,frac_sumcheck.gkr_rounds
step-04-stacking-scatter,0,2,14544.2,14544.2,gkr,frac_sumcheck.gkr_rounds
step-04-stacking-scatter,0,3,14570.0,14570.0,gkr,frac_sumcheck.gkr_rounds
step-04-stacking-scatter,0,4,7626.1,7626.1,gkr,frac_sumcheck.gkr_rounds
step-05-batch-mle-round-kernels,0,0,14531.3,14531.3,gkr,frac_sumcheck.gkr_rounds
step-05-batch-mle-round-kernels,0,1,14525.5,14525.5,gkr,frac_sumcheck.gkr_rounds
step-05-batch-mle-round-kernels,0,2,14544.2,14544.2,gkr,frac_sumcheck.gkr_rounds
step-05-batch-mle-round-kernels,0,3,14570.0,14570.0,gkr,frac_sumcheck.gkr_rounds
step-05-batch-mle-round-kernels,0,4,7626.1,7626.1,gkr,frac_sumcheck.gkr_rounds
step-06-prealloc-gkr-buffers,0,0,14531.3,14531.3,gkr,frac_sumcheck.gkr_rounds
step-06-prealloc-gkr-buffers,0,1,14525.5,14525.5,gkr,frac_sumcheck.gkr_rounds
step-06-prealloc-gkr-buffers,0,2,14544.2,14544.2,gkr,frac_sumcheck.gkr_rounds
step-06-prealloc-gkr-buffers,0,3,14570.0,14570.0,gkr,frac_sumcheck.gkr_rounds
step-06-prealloc-gkr-buffers,0,4,7626.1,7626.1,gkr,frac_sumcheck.gkr_rounds
step-07-prealloc-round0-buffers,0,0,14531.3,14531.3,gkr,frac_sumcheck.gkr_rounds
step-07-prealloc-round0-buffers,0,1,14525.5,14525.5,gkr,frac_sumcheck.gkr_rounds
step-07-prealloc-round0-buffers,0,2,14544.2,14544.2,gkr,frac_sumcheck.gkr_rounds
step-07-prealloc-round0-buffers,0,3,14570.0,14570.0,gkr,frac_sumcheck.gkr_rounds
step-07-prealloc-round0-buffers,0,4,7626.1,7626.1,gkr,frac_sumcheck.gkr_rounds
step-08-gpu-round0-overlap-logup,0,0,14531.3,14531.3,gkr,frac_sumcheck.gkr_rounds
step-08-gpu-round0-overlap-logup,0,1,14525.5,14525.5,gkr,frac_sumcheck.gkr_rounds
step-08-gpu-round0-overlap-logup,0,2,14544.2,14544.2,gkr,frac_sumcheck.gkr_rounds
step-08-gpu-round0-overlap-logup,0,3,14570.0,14570.0,gkr,frac_sumcheck.gkr_rounds
step-08-gpu-round0-overlap-logup,0,4,7626.1,7626.1,gkr,frac_sumcheck.gkr_rounds
step-00-baseline,100,0,15203.7,15203.7,gkr,frac_sumcheck.gkr_rounds
step-00-baseline,100,1,14833.7,14833.7,gkr,frac_sumcheck.gkr_rounds
