iteration,task,apc0_ms,apc100_ms,apc300_ms,status,diff
0,baseline-apc300,2153,2155,2455,baseline,n/a
1,pipeline-round0-kernel-launches,2415,2126,2452,failed,+485/-57
2,parallelize-round0-cpu-postprocess,2178,2160,2455,failed,+124/-74
3,batch-stacked-reduction-mle-sync,2152,2055,2268,success,+22/-40
4,multistream-round0-parallel,2139,1870,1969,success,+264/-140
5,multistream-gkr-input-eval,2131,1986,1730,success,+184/-108
6,batch-stacking-scatter-kernel,2157,1683,1597,success,+83/-32
7,increase-multistream-thread-count,2143,1848,1517,success,+3/-3
8,prealloc-gkr-input-buffers,2152,1632,1501,success,+93/-36
9,batch-mle-round-kernels,2156,1591,1474,success,+456/-49
10,prealloc-round0-buffers,2165,1953,1779,failed,+224/-105
11,batch-mle-interpolation,2160,1589,1418,success,+238/-72
12,batch-mle-main-ptrs-upload,2150,1593,1421,failed,+54/-35
13,batch-round0-descriptor-arrays,2153,,1422,failed,+959/-2
14,batch-round0-caller-routing,2140,,,failed_no_metric,+1356/-6
15,round0-interleaved-work-balance,2142,1578,1411,success,+25/-5
16,gkr-input-round-robin,2142,,1406,failed,+23/-5
17,prealloc-round0-threshold-buffers,2159,,1372,success,+321/-40
18,rightsize-gkr-input-kernel-grid,2140,1745,1358,failed,+1/-1
19,multistream-stacked-reduction-round0,2172,1979,1558,failed,+301/-67
20,precompute-logup-round0-interaction-rules,2123,,1373,failed,+101/-84
21,gpu-round0-poly-extraction,2147,,1336,success,+373/-101
22,overlap-logup-precompute-round0,2150,,1306,success,+94/-34
23,batch-scatter-gkr-input-eval,2146,1687,1297,failed,+454/-38
24,bulk-alloc-mle-fold-buffers,2160,,1306,failed,+243/-66
25,warp-tiled-gkr-intermediates,2158,,1317,failed,+16/-6
26,pingpong-mle-fold-buffers,2130,,1288,success,+177/-38
27,gpu-gkr-transcript-processing,2165,,1305,failed,+589/-150
28,matrix-base-ptr-interpolation,2141,,1293,success,+159/-22
29,warp-per-trace-mle-eval,2160,,1304,failed,+613/-220
30,drain-gpu-pipeline-before-stark,2169,,1312,failed,+40/-8
31,batch-global-gkr-input-eval,2160,,1291,failed,+491/-41
32,multistream-mle-round-eval,2146,,1298,failed,+293/-120
33,cache-codeword-buffer-across-segments,2271,,1250,failed,+13/-1
34,increase-default-vpmm-page-size,1811,1298,1110,success,+9/-1
35,fix-batch-round0-revert-and-reapply,1789,1302,1154,failed,+90/-86
36,reenable-batch-round0-small-airs,1794,1295,1110,failed,+1258/-2
37,precompute-mle-fold-layout,1787,1306,1119,failed,+440/-126
38,prealloc-whir-fold-buffers,1810,1312,1115,failed,+58/-22
39,hoist-mle-trace-ctx-construction,1796,1303,1118,success,+36/-2
40,batch-fold-ple-descriptor-array,1810,1310,1112,failed,+330/-48
41,tune-vpmm-page-size-for-whir,1907,1320,1120,failed,+7/-7
42,gpu-stacked-reduction-poly-extraction,1802,1295,1124,failed,+303/-5
43,tune-gkr-precompute-m-parameters,1808,,1113,failed,+5/-5
44,column-batched-ntt-for-rs-code-matrix,1782,1305,1115,failed,+91/-17
45,batch-stacked-reduction-round0-descriptors,1796,1301,1122,failed,+617/-67
